spam	Army officer selling Bullet bike urgently before posting, only Rs 35000. Advance Rs 5000 book karo, OLX pe photo dekho. Paytm 9123456780
spam	Rs 750 Jio recharge cashback offer expires today!! Click and login with UPI PIN to claim http://jio-750-offer.xyz
spam	CBI NOTICE: Money laundering case FIR 234/2026 registered against your Aadhaar. Join video call for statement or arrest warrant issues skype id cbi.verification
spam	Govt Rojgar Yojana: 25000 posts, no exam, direct joining. Registration fee Rs 850 only. Apply http://sarkari-rojgar-fast.com
spam	Your electricity bill payment of Rs 1240 FAILED. Power cut scheduled 10pm. Pay immediately via this link http://mseb-quickpay.in
spam	ICICI credit card annual fee Rs 4999 will be auto debited today. To cancel press call 8012345679 and share card number for verification
spam	Money stuck in your name Rs 8,40,000 unclaimed PF amount. Process release by paying Rs 2100 verification charge EPFO helpline 7012345678
spam	OLX buyer here, sending advance via UPI request. Accept the Rs 15000 REQUEST and enter PIN to RECEIVE money for your sofa
spam	TATA franchise distributor chahiye aapke area me. Rs 10 lakh monthly income guaranteed. Security deposit Rs 25000 refundable. Call now
spam	Your KYC points 2450 expiring today midnight worth Rs 2450 cash. Redeem now login with netbanking http://rewardz-redeem.co
spam	Missed call from unknown international number? You won Etisalat global draw USD 50000. WhatsApp +234-801-234-5678 to claim
spam	PM Kisan 19th installment Rs 4000 (double benefit) ke liye eligible hai aap. Aadhaar aur bank verify kare http://pmkisan-bonus.org
ham	Bhai kal subah 7 baje nikalna hai station ke liye, uber book kar lena
ham	Your OTP for SBI login is 482910. Do not share with anyone. If not requested, report at 1930.
ham	Mummy ne bola dinner pe aa jao sunday ko, bhabhi bhi aa rahi hai
ham	Meeting moved to 3pm, same google meet link. Bring the Q2 numbers
ham	Your Swiggy order #18229 from Biryani Blues is out for delivery. Rider: Suresh, 15 mins away
ham	Rs 500 debited from a/c XX1234 for UPI txn to Ramesh Kirana on 12-08. Avl bal Rs 8,240. Not you? Call 1800111109
ham	Electricity bill for consumer no 234561 is Rs 1,240 due 25-08. Pay via official app or center. BSES
ham	Happy birthday yaar! Party kab de raha hai?
ham	Your Amazon package with Order 403-889 will arrive today by 8pm. Track in app
ham	Sir the plumber will come tomorrow between 10 and 12, please keep someone at home
ham	Didi ka result aa gaya, 92 percent! Sab log bahut khush hai
ham	Your appointment with Dr Mehta is confirmed for Sat 11:30am, Apollo Clinic Sector 18. Reply C to cancel
ham	Recharge successful! Rs 239 plan activated, valid 28 days, 1.5GB/day. -Jio
ham	Kal ka match dekha? Last over me kya finish kiya bhai
ham	Your IRCTC ticket PNR 4402187631 is CONFIRMED, B4 32, Rajdhani Exp 12952, dep 16:55 NDLS
ham	Office ke liye nikal raha hu, lunch mat banana aaj
ham	Reminder: Society maintenance Rs 2500 for August due by 30th. Pay at office or society app. Tower B RWA
ham	Good morning! Aaj ka quote - kaam karo aisa ki pehchan ban jaye :)
ham	Your Uber is arriving now. White Swift Dzire DL 3C AB 1234. OTP 5566
ham	Beta doctor ne kaha BP normal hai, tension mat lo. Shaam ko call karna
ham	Test series marks upload ho gaye portal pe, check kar lena physics ka
ham	HDFC: Rs 15,000 credited to a/c XX5678 salary NEFT. Avl bal Rs 42,100
ham	Aaj gym aayega ya kal ka bahana phir se
ham	Your DTH recharge of Rs 350 is successful. Next due 28-09. TataPlay
ham	Papa ka phone charge pe laga do, aur unhe dawai yaad dila dena 9 baje
ham	Parcel received at security gate, collect by 9pm. Tower A reception
ham	Class cancelled tomorrow, mam ne group me bheja abhi
ham	Your FASTag wallet balance is low: Rs 85. Recharge via official bank app to avoid penalty at toll
ham	Haan bhai pahunch gaya safely, hostel me hu. Khana kha liya
ham	Zomato: Rate your order from Dominos. How was the delivery experience?
ham	Shaadi ka card bhej diya hai whatsapp pe, 14 November ki date hai
ham	Your LIC premium of Rs 12,450 for policy XX890 is due on 05-09. Pay via official LIC portal or branch
